Content,Version
Lenovo Base Utility for Windows,10.15.2508.4
README,10.15.2508.4
Lenovo Intelligent Sensing Driver for Windows 11 (Version 21H2 or later) - ThinkPad,2.2.30.0
Lenovo Intelligent Sensing Driver,2.2.30.0
README,2.2.30.0
"Intel Connectivity Performance Suite Driver for Windows 11 (Version 21H2 or later), 10 64-bit (Version 20H2 or later) - ThinkPad",4.1024.1009.5
Intel(R) Connectivity Performance Suite Driver,4.1024.1009.5
README,4.1024.1009.5
Lenovo Intelligent Thermal Solution Driver for Windows 11 (Version 21H2 or later) - ThinkPad,2.1.52.20
Lenovo Intelligent Thermal Solution Driver,2.1.52.20
README,2.1.52.20
Intel Platform Monitoring Technology Driver for Windows 11 (Version 23H2 or later) - ThinkPad,5.2.5.2
Intel Platform Monitoring Technology Driver,5.2.5.2
README,5.2.5.2
"Elliptic Labs Smart Sensor Platform HID for Windows 11 (Version 23H2 or later) - ThinkPad X1 Carbon 13th Gen (Type 21NS, 21NT), X1 2-in-1 Gen 10 (Type 21NU, 21NV",1000.99.111.7088
Elliptic Labs Smart Sensor Platform HID,1000.99.111.7088
README,1000.99.111.7088
NXP NFC Driver for Windows 11 (Version 23H2 or later) - ThinkPad,12.0.6.0
NXP NFC Driver,12.0.6.0
README,12.0.6.0
"Generic DisplayLink Driver for USB Docks and Adapter for Windows 10, 11 (64-bit)",11.5.6380.0
Generic DisplayLink Driver,11.5.6380.0
ReadMe for Driver,11.5.6380.0
ReadMe for Driver,11.5.6380.0
"Lenovo Battery Firmware Update Utility for Windows 11 (Version 21H2 or later) - ThinkPad X1 2-in-1 Gen 10 (Type 21NU, 21NV), X1 Carbon 13th Gen (Type 21NS, 21NT)",1.0.0
README,1.0.0
Lenovo Battery Firmware Update Utility,1.0.0
"Lenovo Computer Vision Firmware Update Utility for Windows 11 (Version 22H2 or later) - ThinkPad X1 2-in-1 Gen 10,  X1 Carbon 13th Gen",1.0.25.0523
Lenovo Computer Vision Firmware Update Utility,1.0.25.0523
README,1.0.25.0523
"Dolby Vision Provisioning Kit for Windows 11 (Version 21H2 or later) and 10 (Version 20H2 or later) - ThinkPad, Ideapad, Ideacentre",1.0.0.0
Dolby Vision Provisioning Kit,1.0.0.0
README,1.0.0.0
"Lenovo Migration Assistant for Windows 11, 10, 7 (32-bit, 64-bit) - Laptops, Desktops, Workstations",2.1.4.6
Lenovo Migration Assistant,2.1.4.6
README,2.1.4.6
"Lenovo Smart Standby Driver for Windows 11 (Version 21H2 or later), 10 (Version 1703 or later) - ThinkPad",4.3.11.0
Lenovo Smart Standby Driver,4.3.11.0
README,4.3.11.0
FCC (Factory Color Calibration) Panels for Linux - ThinkPad,1.2
FCC (Factory Color Calibration),1.2
README,1.2
Color Calibration Panel Replace for Linux - ThinkPad,1.2
Color Calibration Panel Replace,1.2
README,1.2
"Lenovo System Interface Foundation for Windows 11 (64-bit), 10 (32-bit, 64-bit) - ThinkPad, ThinkCentre, IdeaPad, IdeaCentre, ThinkStation",1.1.20.3
Lenovo System Interface Foundation,1.1.20.3
README,1.1.20.3
"Lenovo Smart Display Applications for Windows 10 (32-bit, 64-bit) - Desktop, Notebook",1.0.0.10
Smart Display,1.0.0.10
Lenovo Message Center Plus Uninstaller - ThinkPad and ThinkCentre Systems,1.1.0.0
Lenovo Message Center Plus Uninstaller,1.1.0.0
README for Lenovo Message Center Plus Uninstaller,1.1.0.0
NVMe Solid State Drive Firmware Update Utility for Windows 11 (Version 22H2 or later) - ThinkPad,73.0
NVMe Solid State Drive Firmware Update Utility,73.0
README,73.0
"Lenovo System Update for Windows 11, 10 & 7 (32-bit, 64-bit) - Desktop, Notebook, Workstation",5.08.03.59
Lenovo System Update,5.08.03.59
README,5.08.03.59
